Angraecum eburneum
Anoectochilus formosanus
Arundina graminifolia
Bletilla striata

Brassavola nodosa

Bulbophyllum saurocephalum
Bulbophyllum vaginatum

Cattleya lueddemanniana
Cattleya purpurata
Cuitlauzina pulchella


Dendrobium crumenatum
Dendrobium nobile
Dendrobium wassellii
Encyclia bractescens
Encyclia cordigera

Epidendrum ciliare
Grammatophyllum speciosum
Guarianthe aurantiaca

Liparis viridiflora

Maxillaria tenuifolia
Maxillaria ubatubana



Oncidium sphacelatum


Papilionanthe teres

Phalaenopsis amabilis

Sobralia decora



Vanilla planifolia
